 Date,Start Time,End TIme,Activity,location,"General Emotion (excited, happy, calm, anxious, sad, angry)",Qualitative,Excited,Happy,Calm,Anxious,Sad ,Angry,Hungry,Tired,Bored,startTime,endTime
2016-04-29,20:50:00,21:45:00,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,,2016-04-29 20:50:00,2016-04-29 21:45:00
2016-04-29,22:05:00,23:59:00,homework/pokemon hehe,home,anxious,,,2.00,,5.00,,,,,,2016-04-29 22:05:00,2016-04-29 23:59:00
2016-04-30,00:00:00,00:40:00,editing photos instead of writing thesis,home,calm,,,,8.00,2.00,,,,,,2016-04-30 00:00:00,2016-04-30 00:40:00
2016-04-30,09:25:00,09:35:00,noodle lady,3 blocks from home,happy,,4.00,4.00,2.00,,,,,,,2016-04-30 09:25:00,2016-04-30 09:35:00
2016-04-30,09:36:00,10:15:00,eating and drinking coffee,home,happy,,,5.00,5.00,,,,,,,2016-04-30 09:36:00,2016-04-30 10:15:00
2016-04-30,10:16:00,11:00:00,waiting for late video project partner,home,anxious/irritated,,,,,5.00,,2.00,,,,2016-04-30 10:16:00,2016-04-30 11:00:00
2016-04-30,11:01:00,12:00:00,driving to hofstra (brief moments of life threatening experiences),car,anxious,,,,,4.00,,,,,3.00,2016-04-30 11:01:00,2016-04-30 12:00:00
2016-04-30,12:01:00,14:40:00,recording rugby game,hofstra university,bored,,,,,4.00,,,,,3.00,2016-04-30 12:01:00,2016-04-30 14:40:00
2016-04-30,14:41:00,15:30:00,driving to school (brief moments of life threatening experiences),car,anxious,,,,,4.00,,,,,,2016-04-30 14:41:00,2016-04-30 15:30:00
2016-04-30,15:40:00,19:00:00,editing video,3rd floor,anxious,,,,4.00,2.00,,,,2.00,2.00,2016-04-30 15:40:00,2016-04-30 19:00:00
2016-04-30,19:01:00,22:15:00,editing russia book,3rd floor/5th floor,calm,,,,10.00,,,,,,,2016-04-30 19:01:00,2016-04-30 22:15:00
2016-04-30,20:30:00,20:45:00,root beer floats,5th floor,happy,,4.00,6.00,,,,,,,,2016-04-30 20:30:00,2016-04-30 20:45:00
2016-05-01,11:00:00,19:00:00,working in cage/doing hw,4th floor cage,anxious,,,,,4.00,,2.00,,,,2016-05-01 11:00:00,2016-05-01 19:00:00
2016-05-01,13:50:00,13:35:00,attack arash,4th floor cage,angry,,,,,,,8.00,,,,2016-05-01 13:50:00,2016-05-01 13:35:00
2016-05-01,15:09:00,15:10:00,found out troy is moving to SF,4th floor cage,angry,,,,,10.00,10.00,10.00,,,,2016-05-01 15:09:00,2016-05-01 15:10:00
2016-05-01,17:05:00,17:15:00,taiso exercises with sol and arash (you should see the security cam footage),4th floor cage,happy,,2.00,2.00,5.00,,,,,,,2016-05-01 17:05:00,2016-05-01 17:15:00
2016-05-01,20:35:00,21:35:00,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,,2016-05-01 20:35:00,2016-05-01 21:35:00
2016-05-02,06:50:00,07:00:00,woke up annoyed,home,angry,,,,,2.00,,2.00,,8.00,,2016-05-02 06:50:00,2016-05-02 07:00:00
2016-05-02,08:40:00,08:43:00,david.,university center,angry,,,,,3.00,,6.00,,6.00,,2016-05-02 08:40:00,2016-05-02 08:43:00
2016-05-02,09:00:00,09:45:00,david.,university center,angry,,,,,2.00,,6.00,,4.00,,2016-05-02 09:00:00,2016-05-02 09:45:00
2016-05-02,10:00:00,11:40:00,microeconomics class,6 e 16th stret,bored,,,,4.00,4.00,,2.00,,2.00,,2016-05-02 10:00:00,2016-05-02 11:40:00
2016-05-02,12:00:00,12:10:00,hashem called me a spy and i never want to see his stupid face again,5th floor,angry,,,,,4.00,,10.00,,2.00,,2016-05-02 12:00:00,2016-05-02 12:10:00
2016-05-02,12:10:00,13:18:00,homework,barb's office,anxious,,,,,4.00,,2.00,,2.00,,2016-05-02 12:10:00,2016-05-02 13:18:00
2016-05-02,13:19:00,13:20:00,hit sally,barb's office,excited,,8.00,,,3.00,,,,2.00,,2016-05-02 13:19:00,2016-05-02 13:20:00
2016-05-02,13:20:00,13:21:00,laughing with sally,barb's office,happy,,5.00,5.00,,,,,,2.00,,2016-05-02 13:20:00,2016-05-02 13:21:00
2016-05-02,13:38:00,13:50:00,charles,barb's office,angry,,,,,,,8.00,,,,2016-05-02 13:38:00,2016-05-02 13:50:00
2016-05-02,13:49:00,13:50:00,listening to sally enter in her emotions,barb's office,excited,,5.00,5.00,,,,,,,,2016-05-02 13:49:00,2016-05-02 13:50:00
2016-05-02,14:00:00,14:10:00,barb and sally are teasing me then arash was being mean and i told him yesterday i would punch him so i did,5th floor,angry,,3.00,,,,,9.00,,,,2016-05-02 14:00:00,2016-05-02 14:10:00
2016-05-02,14:11:00,16:25:00,homework/work,5th floor,anxious,,,,,5.00,,,,,,2016-05-02 14:11:00,2016-05-02 16:25:00
