starttime,endtime,date,start,end,activity,location,generalemo,qualitative,excited,happy,calm,anxious,sad,angry,hungry,tired,bored,exhaca,ansaan,exha,haca,anan,ansa
4/28/16 10:00,4/28/16 11:10,4/28/16,10:00 AM,11:10 AM,Meeting,work,Calm,,,,6.00,,,4.00,,,,6.00,4.00,0.00,6.00,4.00,0.00
4/28/16 11:10,4/28/16 12:05,4/28/16,11:10 AM,12:05 PM,Tour,work,Happy,,,6.00,,3.00,,,,,,6.00,3.00,6.00,6.00,3.00,3.00
4/28/16 12:05,4/28/16 13:35,4/28/16,12:05 PM,1:35 PM,Anxious/Calm,school,,,,,4.00,4.00,,,,,,4.00,4.00,0.00,4.00,4.00,4.00
4/28/16 13:35,4/28/16 13:49,4/28/16,1:35 PM,1:49 PM,code daniel,school,Angry/frustrated,,,,,,,5.00,,,,0.00,5.00,0.00,0.00,5.00,0.00
4/28/16 13:49,4/28/16 15:26,4/28/16,1:49 PM,3:26 PM,calm,school,,,,,4.00,4.00,,,,,,4.00,4.00,0.00,4.00,4.00,4.00
4/28/16 15:26,4/28/16 16:30,4/28/16,3:26 PM,4:30 PM,calm,work,,,,,,,,8.00,,,,0.00,8.00,0.00,0.00,8.00,0.00
4/28/16 16:30,4/28/16 17:00,4/28/16,4:30 PM,5:00 PM,Fine Arts,work,Angry,,,,,,,10.00,,,,0.00,10.00,0.00,0.00,10.00,0.00
4/28/16 17:00,4/28/16 18:00,4/28/16,5:00 PM,6:00 PM,Bs before class,work,calm/angry,,,,4.00,,,4.00,,,,4.00,4.00,0.00,4.00,4.00,0.00
4/28/16 18:00,4/28/16 20:00,4/28/16,6:00 PM,8:00 PM,coding,school,calm/angry,,,,4.00,,,4.00,,,,4.00,4.00,0.00,4.00,4.00,0.00
4/28/16 20:00,4/28/16 20:15,4/28/16,8:00 PM,8:15 PM,assignment,,Angry,,,,,,,8.00,,,,0.00,8.00,0.00,0.00,8.00,0.00
4/28/16 20:15,4/28/16 20:30,4/28/16,8:15 PM,8:30 PM,Going to Train,,calm/angry,,,,3.00,,,6.00,,,,3.00,6.00,0.00,3.00,6.00,0.00
4/28/16 20:30,4/28/16 21:30,4/28/16,8:30 PM,9:30 PM,Train home,,calm,,,,6.00,,,2.00,,,,6.00,2.00,0.00,6.00,2.00,0.00
4/28/16 21:30,4/28/16 22:10,4/28/16,9:30 PM,10:10 PM,"Coding, TV in background",home,calm,,,,6.00,,,2.00,,,,6.00,2.00,0.00,6.00,2.00,0.00
4/28/16 22:10,4/28/16 23:59,4/28/16,10:10 PM,11:59 PM,coding tv sleeping,home,calm,,,,10.00,,,,,,,10.00,0.00,0.00,10.00,0.00,0.00
4/29/16 0:00,4/29/16 5:30,4/29/16,12:00 AM,5:30 AM,sleep,home,calm,,,,10.00,,,,,,,10.00,0.00,0.00,10.00,0.00,0.00
4/29/16 5:30,4/29/16 5:31,4/29/16,5:30 AM,5:31 AM,wake,home,calm,,,,10.00,,,,,,,10.00,0.00,0.00,10.00,0.00,0.00
4/29/16 5:31,4/29/16 6:20,4/29/16,5:31 AM,6:20 AM,sleep,home,calm,,,,10.00,,,,,,,10.00,0.00,0.00,10.00,0.00,0.00
4/29/16 6:20,4/29/16 6:30,4/29/16,6:20 AM,6:30 AM,wake,home,calm,,,,10.00,,,,,,,10.00,0.00,0.00,10.00,0.00,0.00
4/29/16 6:30,4/29/16 6:45,4/29/16,6:30 AM,6:45 AM,Shower Dress,home,calm,,,,8.00,,,,,,,8.00,0.00,0.00,8.00,0.00,0.00
4/29/16 6:45,4/29/16 7:12,4/29/16,6:45 AM,7:12 AM,get set for train,,calm,,,,6.00,,,,,,,6.00,0.00,0.00,6.00,0.00,0.00
4/29/16 7:12,4/29/16 8:00,4/29/16,7:12 AM,8:00 AM,Train,,calm/ chatting with friends via txt,,,4.00,6.00,,,,,,,10.00,0.00,4.00,10.00,0.00,0.00
4/29/16 8:00,4/29/16 8:20,4/29/16,8:00 AM,8:20 AM,walk to work exercise,,calm/ happy,,,4.00,6.00,,,,,,,10.00,0.00,4.00,10.00,0.00,0.00
4/29/16 8:20,4/29/16 9:00,4/29/16,8:20 AM,9:00 AM,open shop,work,calm/ happy,,,5.00,5.00,,,,,,,10.00,0.00,5.00,10.00,0.00,0.00
4/29/16 9:00,4/29/16 9:37,4/29/16,9:00 AM,9:37 AM,amanda and hashem,work,happy,,,6.00,,,,,,,,6.00,0.00,6.00,6.00,0.00,0.00
4/29/16 9:37,4/29/16 10:41,4/29/16,9:37 AM,10:41 AM,,work,calm,,,3.00,4.00,,,,,,,7.00,0.00,3.00,7.00,0.00,0.00
4/29/16 10:41,4/29/16 12:30,4/29/16,10:41 AM,12:30 PM,Fix taxes and stuff,work,calm/anxious,,,,6.00,4.00,,,,,,6.00,4.00,0.00,6.00,4.00,4.00
4/29/16 12:30,4/29/16 13:38,4/29/16,12:30 PM,1:38 PM,work stuff,work,calm,,,,5.00,,,,,,,5.00,0.00,0.00,5.00,0.00,0.00
4/29/16 13:38,4/29/16 16:00,4/29/16,1:38 PM,4:00 PM,work stuff,work,calm/ happy,,,5.00,5.00,,,,,,,10.00,0.00,5.00,10.00,0.00,0.00
4/29/16 16:00,4/29/16 16:30,4/29/16,4:00 PM,4:30 PM,going to penn station exercise,,calm/ happy,,,5.00,5.00,,,,,,,10.00,0.00,5.00,10.00,0.00,0.00
4/29/16 16:30,4/29/16 17:30,4/29/16,4:30 PM,5:30 PM,train sleeping,,calm,,,,10.00,,,,,,,10.00,0.00,0.00,10.00,0.00,0.00
4/29/16 17:30,4/29/16 19:00,4/29/16,5:30 PM,7:00 PM,reading and nap,home,calm,,,,8.00,,,,,,,8.00,0.00,0.00,8.00,0.00,0.00
4/29/16 19:00,4/29/16 19:25,4/29/16,7:00 PM,7:25 PM,Shower and restart,home,calm,,,,10.00,,,,,,,10.00,0.00,0.00,10.00,0.00,0.00
4/29/16 19:25,4/29/16 21:03,4/29/16,7:25 PM,9:03 PM,Write up of reading,home,calm,,,,6.00,4.00,,,,,,6.00,4.00,0.00,6.00,4.00,4.00
4/29/16 21:03,4/29/16 23:59,4/29/16,9:03 PM,11.59 PM,Write up of reading,home,calm,,,,6.00,4.00,,,,,,6.00,4.00,0.00,6.00,4.00,4.00
4/30/16 0:00,4/30/16 1:30,4/30/16,12:00 AM,1:30 AM,Watch TV,home,calm,,,,6.00,4.00,,,,,,6.00,4.00,0.00,6.00,4.00,4.00
