starttime,endtime,date,start,end,activity,location,generalemo,qualitative,excited,happy,calm,anxious,sad,angry,hungry,tired,bored,exhaca,ansaan,exha,haca,anan,ansa
2016-05-09 10:15:00,2016-05-09 12:04:00,2016-05-09,10:15 AM,12:04 PM,Doing homework,5th fl cage,Tired,8,,,,,,,,8,,0,0,0,0,0,0
2016-05-09 15:45:00,2016-05-09 16:33:00,2016-05-09,3:45 PM,4:33 PM,Train ride with Sarah,F train to brooklyn,Calm,5,,,5,,,,,,,5,0,0,5,0,0
2016-05-09 16:33:00,2016-05-09 17:34:00,2016-05-09,4:33 PM,5:34 PM,Accompanying Sarah taking house photos,"Ocean Parkway, brooklyn","Calm, tired",6,,,6,,,,,6,,6,0,0,6,0,0
2016-05-09 17:34:00,2016-05-09 18:10:00,2016-05-09,5:34 PM,6:10 PM,Train ride with Sarah,F train to 14 st,Tired,8,,,,,,,,8,,0,0,0,0,0,0
2016-05-09 19:18:00,2016-05-09 19:25:00,2016-05-09,7:18 PM,7:25 PM,Chinese presentation,"11th st, 2nd floor",Anxious,6,,,,6,,,,,,0,6,0,0,6,6
2016-05-09 19:30:00,2016-05-09 21:00:00,2016-05-09,7:30 PM,9:00 PM,"Loitering, talking to Charles, talking to hashem","5th floor cage, durst","Tired, calm",8,,,8,,,,,8,,8,0,0,8,0,0
2016-05-09 21:10:00,2016-05-09 22:00:00,2016-05-09,9:10 PM,10:00 PM,China group meeting,D12,Anxious,8,,,,8,,,,,,0,8,0,0,8,8
2016-05-09 22:00:00,2016-05-09 23:42:00,2016-05-09,10:00 PM,11:42 PM,Car ride home,,"Calm, tired",8,,,8,,,,,8,,8,0,0,8,0,0
2016-05-09 23:52:00,2016-05-09 12:16:00,2016-05-09,11:52 PM,12:16 PM,Working out,Home,Tired,8,,,,,,,,8,,0,0,0,0,0,0
2016-05-10 09:30:00,2016-05-10 12:00:00,2016-05-10,9:30 AM,12:00 PM,Doing homework,3rd floor labs,Tired,7,,,,,,,,7,,0,0,0,0,0,0
2016-05-10 12:10:00,2016-05-10 15:45:00,2016-05-10,12:10 PM,3:45 PM,Studio critique,Studio 300,Bored,10,,,,,,,,,10,0,0,0,0,0,0
2016-05-10 15:45:00,2016-05-10 16:15:00,2016-05-10,3:45 PM,4:15 PM,Bothering Sarah,3rd floor labs,Happy,8,,8,,,,,,,,8,0,8,8,0,0
2016-05-10 16:20:00,2016-05-10 18:10:00,2016-05-10,4:20 PM,6:10 PM,Studio critique,Studio 300,Bored,10,,,,,,,,,10,0,0,0,0,0,0
2016-05-10 18:20:00,2016-05-10 19:43:00,2016-05-10,6:20 PM,7:43 PM,China TA Meeting,"6 e 16th, 1209",Calm,5,,,5,,,,,,,5,0,0,5,0,0
2016-05-10 20:06:00,2016-05-10 21:07:00,2016-05-10,20:06,9:07 PM,"Train, bus home",,"Calm, tired, sleeping",8,,,8,,,,,8,,8,0,0,8,0,0
2016-05-10 21:07:00,2016-05-10 21:32:00,2016-05-10,9:07 PM,9:32 PM,Dinner,Home,,,,,,,,,,,,0,0,0,0,0,0
2016-05-10 21:32:00,2016-05-10 01:30:00,2016-05-10,9:32 PM,1:30 AM,Working on research paper/procrastinating,Home,"Dying, tired",10,,,,,,,,10,,0,0,0,0,0,0
2016-05-11 01:30:00,2016-05-11 02:00:00,2016-05-11,1:30 AM,2:00 AM,Napping,Home,Calm,6,,,6,,,,,,,6,0,0,6,0,0
2016-05-11 02:00:00,2016-05-11 05:08:00,2016-05-11,2:00 AM,5:08 AM,Working on research paper/procrastinating,Home,"Dying, tired",10,,,,,,,,10,,0,0,0,0,0,0
2016-05-11 05:08:00,2016-05-11 06:34:00,2016-05-11,5:08 AM,6:34 AM,"Talking to Mario, working on research paper",Home,"Dying, tired",10,,,,,,,,10,,0,0,0,0,0,0
2016-05-11 06:34:00,2016-05-11 07:02:00,2016-05-11,6:34 AM,7:02 AM,Napping,Home,Calm,3,,,3,,,,,,,3,0,0,3,0,0
2016-05-11 07:00:00,2016-05-11 07:34:00,2016-05-11,7:00 AM,7:34 AM,Getting ready for school,Home,"Dying, tired",10,,,,,,,,10,,0,0,0,0,0,0
2016-05-11 07:34:00,2016-05-11 08:55:00,2016-05-11,7:34 AM,8:55 AM,Going to school/napping,"Bus, train",Calm,3,,,3,,,,,,,3,0,0,3,0,0
2016-05-11 09:00:00,2016-05-11 10:26:00,2016-05-11,9:00 AM,10:26 AM,In class (ARS); passed out at some point,"Fine art building, 5th floor",Tired,10,,,,,,,,10,,0,0,0,0,0,0
2016-05-11 10:42:00,2016-05-11 12:10:00,2016-05-11,10:42 AM,12:10 PM,Printing and rendering for Lab,3rd floor lab,"Tired, anxious",10,,,,10,,,,,,0,10,0,0,10,10
2016-05-11 12:10:00,2016-05-11 15:10:00,2016-05-11,12:10 PM,3:10 PM,Butt's class,Studio 304,"Dying, tired",10,,,,,,,,10,,0,0,0,0,0,0
2016-05-11 15:10:00,2016-05-11 15:45:00,2016-05-11,3:10 PM,3:45 PM,Resting,5th floor cage,"Dying, tired",10,,,,,,,,10,,0,0,0,0,0,0
2016-05-11 15:50:00,2016-05-11 16:15:00,2016-05-11,3:50 PM,4:15 PM,In class (IVS); passed out at some point,"66 12th Street, 407","Dying, tired",10,,,,,,,,10,,0,0,0,0,0,0
2016-05-11 16:38:00,2016-05-11 17:56:00,2016-05-11,4:38 PM,5:56 PM,Taking train to Kai's house; napping,,Calm,4,,,4,,,,,,,4,0,0,4,0,0
2016-05-11 17:56:00,2016-05-11 18:30:00,2016-05-11,5:56 PM,6:30 PM,Waiting for Kai to come home,Outside of Kai's house; Brooklyn Bensonhurst,"Tired, hungry, angry",8,,,,,,8,8,8,,0,8,0,0,8,0
2016-05-11 18:30:00,2016-05-11 21:00:00,2016-05-11,6:30 PM,9:00 PM,Sleeping,Kai's house; Brooklyn Bensonhurst,Calm,8,,,8,,,,,,,8,0,0,8,0,0
2016-05-11 21:00:00,2016-05-11 21:30:00,2016-05-11,9:00 PM,9:30 PM,Eating dinner,Kai's house; Brooklyn Bensonhurst,Calm,8,,,8,,,,,,,8,0,0,8,0,0
2016-05-11 23:38:00,2016-05-11 00:00:00,2016-05-11,11:38 PM,12:00 AM,Car ride home,,Tired,10,,,,,,,,10,,0,0,0,0,0,0
2016-05-12 00:09:00,2016-05-12 07:51:00,2016-05-12,12:09 AM,7:51 AM,Sleeping,Home,Calm,8,,,8,,,,,,,8,0,0,8,0,0
2016-05-12 08:15:00,2016-05-12 09:30:00,2016-05-12,8:15 AM,9:30 AM,"Train, bus to school",,Calm,6,,,6,,,,,,,6,0,0,6,0,0
2016-05-12 09:40:00,2016-05-12 09:50:00,2016-05-12,9:40 AM,9:50 AM,Picking up equipment,4th floor cage,Tired,6,,,,,,,,6,,0,0,0,0,0,0
2016-05-12 09:50:00,2016-05-12 10:30:00,2016-05-12,9:50 AM,10:30 AM,Train to work,,Tired,6,,,,,,,,6,,0,0,0,0,0,0
2016-05-12 10:52:00,2016-05-12 17:08:00,2016-05-12,10:52 AM,5:08 PM,Shooting food,Work; Harlem,Overwhelemed,8,,,,8,,,,,,0,8,0,0,8,8
2016-05-12 18:20:00,2016-05-12 19:10:00,2016-05-12,6:20 PM,7:10 PM,Train to school,,"Tired, hot",10,,,,,,10,,10,,0,10,0,0,10,0
2016-05-12 19:10:00,2016-05-12 23:37:00,2016-05-12,7:10 PM,11:37 PM,Working,4th floor cage,Calm,7,,,7,,,,,,,7,0,0,7,0,0
2016-05-12 23:02:00,2016-05-12 23:02:00,2016-05-12,11:02 PM,11:37 PM,Boris slaps me on the forehead,4th floor cage,Angry,10,,,,,,10,,,,0,10,0,0,10,0
